message	topic	sender	location	time
Looking forward to the after-work drinks! See you there!	party	Elena	Los Angeles	15/07/2023
Should we meet at the Arcade Room or Laser Tag?	entertainment	Ella	Los Angeles	14/07/2023
Can you pick up the kids from soccer practice, please?	family	Dad	Los Angeles	14/03/2025
Hey Sarah, the game starts at 8 PM sharp, don't be late!	party	Jessica	Los Angeles	14/07/2023
Do you have time to help me set up the playroom for Sarah's birthday this weekend?	family	Emily	Los Angeles	14/05/2023
Can you help with Sarah's school play rehearsal this evening?	family	Dad	Los Angeles	28/10/2023
Got your email, the payment has been processed. Can we set up a call on Thursday to discuss the next steps?	business	Karen	Toronto	07/12/2022
Can you pick up Sarah from her school concert?	family	dad	San Francisco	14/03/2023
Looking forward to our virtual meeting at 3 PM today, please review the attached proposal.	business	Emily W.	Los Angeles	14/07/2021
Can you pick up Sam from his baseball practice? It ends at 5 PM.	family	Dad	Los Angeles	14/03/2025
Looks like the bowling tournament starts at 7 PM, wanna go?	entertainment	Vladimir	San Francisco	15/03/2023
Are you free to catch the latest movie this evening?	entertainment	Emma	Los Angeles	14/07/2023
Can we move our brainstorming session to tomorrow at 4 PM?	meeting	Laura	Los Angeles	28/08/2023
"Hey Jane, let's catch the movie ""The Great Adventure"" at 8pm this evening. It’s showing at Cinema City."	entertainment	Steve	Boston	15/06/2023
Sure, can we talk through the project planning at 4pm tomorrow?	meeting	Oliver	Los Angeles	16/05/2021
Can we finalize the project timeline during our lunch tomorrow at noon?	meeting	Alex J.	Seattle	14/03/2023
Are you at the after-party yet? Let me know if you need a ride!	party	Rachel	San Francisco	14/07/2023
Can you pick up Sarah from soccer practice?	family	Dad	Los Angeles	10/12/2023
Can you come home early to help with the kids' homework? They have a test tomorrow.	family	Dad	Los Angeles	10/02/2023
Can we set up a call at 9 AM tomorrow to discuss the project?	meeting	Sophie	Los Angeles	14/03/2023
Looking forward to the scavenger hunt this weekend! Should we meet at the park?	entertainment	Liam	Vienna	15/07/2023
Sure, let's head to the skating rink this weekend, how about Saturday afternoon?	entertainment	Emma	Montreal	01/04/2023
Got your email, the project deadline is moved to next Friday. Thanks!	business	Jane D.	Toronto	15/03/2023
Are you heading to the beach tonight? Bring sunscreen!	party	Sam	Barcelona	01/08/2024
Can you pick up the kids from soccer practice?	family	Dad	Los Angeles	24/03/2023
Would you like to check out the new art gallery opening this weekend?	entertainment	Eva	Vienna	17/02/2023
Can you help with Sam's homework when he gets back from soccer practice?	family	Jane	Boston	14/03/2023
Let's catch up at the arcade this Saturday, how does that sound?	entertainment	Nina	Oslo	14/04/2023
Can't wait to see you at the rooftop BBQ this evening!	party	Tom	Istanbul	15/07/2023
Can you pick up the kids from soccer practice?	family	dad	Los Angeles	10/12/2023
Let's touch base at 3 PM tomorrow to go over the project details.	meeting	Taylor	San Francisco	14/07/2023
Got your report, can you please review and provide feedback by EOD?	business	Karen	Los Angeles	14/03/2023
Want to check out that new jazz club downtown this weekend?	entertainment	Rachel	San Francisco	25/08/2023
Sure, let's move our lunch meeting to Wednesday at noon?	meeting	Elena	Los Angeles	07/12/2022
Hey sweetie, remember to bring your drawing book when we go visit grandma this weekend.	family	Dad	Boston	15/04/2023
Can you pick up Sarah from soccer practice at 4pm?	family	Dad	Los Angeles	10/12/2023
Can we plan to meet at the coffee shop by the river on Saturday?	meeting	Ella	Paris	18/03/2023
Can we catch up for a quick chat at the cafe this afternoon?	meeting	Elena	Vienna	12/07/2021
Can you pick up Sarah from her soccer practice at 4pm?	family	Dad	Los Angeles	10/15/2023
Planning the budget meeting for Q4, let's finalize next steps.	business	Johnson D.	Toronto	15/10/2023
Can you pick up Sarah from her soccer practice at 4pm?	family	Tom	Los Angeles	10/07/2023
Having a chill session at the beach this weekend, coming?	party	Alex	Miami	15/04/2023
Looking forward to your feedback on the draft, let's discuss it tomorrow morning.	business	David B.	Houston	14/03/2023
Let's plan our concert outing for Saturday, what time works for you?	entertainment	Emma	Los Angeles	15/04/2023
Looking forward to the concert tonight, will you come early to grab good seats?	entertainment	Jamie	Los Angeles	28/07/2023
Can you help get the kids ready for their art class this afternoon?	family	Chris	Toronto	14/03/2023
